USER_ID;ALC;ENERC;CHOAVL;PROT;FAT;VITE;VITD;VITK;CAROTENS;VITA;NIA;VITB12;NIAEQ;VITPYRID;RIBF;FOL;THIA;VITC;FIBC;FIBINS;OA;SUGOH;PSACNCS;FRUS;GALS;SUCS;GLUS;SUGAR;LACS;MALS;STARCH;FAPU;F18D3N3;FAPUN3;F20D5N3;FAPUN6;F22D6N3;FASAT;FATRN;FAFRE;FAMCIS;F18D2CN6;STERT;CHOLE;ZN;FE;ID;SE;P;K;CA;MG;NA;NACL;TRP
male;NULL;NULL;NULL;NULL;NULL;10;10;NULL;NULL;900;NULL;2;18;1.5;1.6;300;1.4;75;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9;9;150;60;600;3500;800;350;NULL;2500;NULL
female;NULL;NULL;NULL;NULL;NULL;8;10;NULL;NULL;700;NULL;2;15;1.2;1.3;300;1.1;75;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;15;150;60;600;3100;800;280;NULL;2500;NULL
